Base	Feature importance
-87	0.001
-86	0.001
-85	0.000
-84	0.002
-83	0.001
-82	0.001
-81	0.001
-80	0.001
-79	0.001
-78	0.001
-77	0.001
-76	0.001
-75	0.001
-74	0.001
-73	0.001
-72	0.000
-71	0.000
-70	0.002
-69	0.001
-68	0.001
-67	0.001
-66	0.001
-65	0.001
-64	0.001
-63	0.000
-62	0.000
-61	0.000
-60	0.000
-59	0.000
-58	0.001
-57	0.001
-56	0.001
-55	0.001
-54	0.000
-53	0.000
-52	0.000
-51	0.000
-50	0.001
-49	0.000
-48	0.001
-47	0.001
-46	0.001
-45	0.001
-44	0.001
-43	0.001
-42	0.001
-41	0.001
-40	0.000
-39	0.000
-38	0.000
-37	0.001
-36	0.001
-35	0.001
-34	0.000
-33	0.001
-32	0.001
-31	0.001
-30	0.001
-29	0.000
-28	0.001
-27	0.000
-26	0.000
-25	0.001
-24	0.001
-23	0.001
-22	0.001
-21	0.002
-20	0.001
-19	0.001
-18	0.001
-17	0.002
-16	0.001
-15	0.001
-14	0.001
-13	0.001
-12	0.001
-11	0.004
-10	0.002
-9	0.002
-8	0.009
-7	0.002
-6	0.008
-5	0.002
-4	0.002
-3	0.002
-2	0.004
-1	0.004
1	0.003
2	0.004
3	0.013
4	0.017
5	0.007
6	0.007
7	0.003
8	0.004
9	0.007
10	0.001
11	0.019
12	0.003
13	0.001
14	0.002
15	0.015
16	0.001
17	0.002
18	0.001
19	0.002
20	0.001
21	0.016
22	0.003
23	0.003
24	0.118
25	0.001
26	0.002
27	0.001
28	0.001
29	0.001
30	0.001
31	0.001
32	0.002
33	0.002
34	0.001
35	0.002
36	0.002
37	0.001
38	0.003
39	0.000
40	0.001
41	0.001
42	0.001
43	0.004
44	0.002
45	0.005
46	0.002
47	0.001
48	0.001
49	0.001
50	0.001
51	0.001
52	0.001
53	0.001
54	0.001
55	0.001
56	0.002
57	0.001
58	0.001
59	0.002
60	0.002
61	0.001
62	0.001
63	0.001
64	0.001
65	0.001
66	0.001
67	0.001
68	0.001
69	0.000
70	0.000
71	0.001
72	0.001
73	0.001
74	0.001
75	0.000
76	0.001
77	0.000
78	0.001
79	0.001
80	0.001
81	0.001
82	0.001
83	0.001
84	0.001
85	0.001
86	0.001
87	0.001
88	0.001
89	0.001
90	0.000
91	0.001
92	0.001
93	0.001
94	0.000
95	0.000
96	0.002
97	0.001
98	0.001
99	0.003
100	0.001
101	0.002
102	0.001
103	0.001
104	0.000
105	0.002
106	0.001
107	0.002
108	0.002
109	0.001
110	0.001
111	0.001
112	0.002
113	0.002
114	0.001
115	0.002
116	0.003
117	0.002
118	0.001
119	0.001
120	0.001
121	0.001
122	0.000
123	0.001
124	0.001
125	0.001
126	0.001
127	0.002
128	0.001
129	0.002
130	0.001
131	0.000
132	0.001
133	0.001
134	0.002
135	0.001
136	0.000
137	0.001
138	0.001
139	0.001
140	0.001
141	0.001
142	0.001
143	0.001
144	0.000
145	0.000
146	0.001
147	0.001
148	0.001
149	0.001
150	0.001
151	0.000
152	0.000
153	0.001
154	0.000
155	0.001
156	0.000
157	0.001
158	0.002
159	0.001
160	0.002
161	0.001
162	0.001
163	0.000
164	0.000
165	0.001
166	0.000
167	0.000
168	0.000
169	0.001
170	0.002
171	0.002
172	0.001
173	0.001
174	0.001
175	0.001
176	0.002
177	0.001
178	0.001
179	0.001
180	0.000
181	0.000
182	0.001
183	0.000
184	0.001
185	0.000
186	0.001
187	0.000
188	0.000
189	0.001
190	0.000
191	0.001
192	0.001
193	0.001
194	0.001
195	0.000
196	0.001
197	0.002
198	0.011
199	0.003
200	0.002
201	0.001
202	0.000
203	0.001
204	0.001
205	0.001
206	0.001
207	0.001
208	0.001
209	0.001
210	0.001
211	0.001
212	0.001
