Base	Feature importance
-87	-0.000
-86	-0.000
-85	-0.000
-84	-3959.654
-83	-0.000
-82	0.000
-81	0.000
-80	0.000
-79	-0.000
-78	-0.000
-77	-0.000
-76	0.000
-75	-0.000
-74	-0.000
-73	0.000
-72	-0.000
-71	-0.000
-70	-0.000
-69	0.000
-68	0.000
-67	-0.000
-66	-0.000
-65	0.000
-64	0.000
-63	0.000
-62	0.000
-61	0.000
-60	0.000
-59	-0.000
-58	0.000
-57	0.000
-56	0.000
-55	0.000
-54	0.000
-53	0.000
-52	0.000
-51	0.000
-50	0.000
-49	-0.000
-48	0.000
-47	-0.000
-46	0.000
-45	1205.707
-44	0.000
-43	0.000
-42	-0.000
-41	-0.000
-40	-0.000
-39	-0.000
-38	-0.000
-37	-0.000
-36	0.000
-35	100.193
-34	0.000
-33	1530.408
-32	0.000
-31	-0.000
-30	800.551
-29	0.000
-28	0.000
-27	0.000
-26	-0.000
-25	-0.000
-24	-3927.988
-23	-0.000
-22	-400.990
-21	-0.000
-20	-134.072
-19	-492.829
-18	-0.000
-17	1642.054
-16	-0.000
-15	0.000
-14	-0.000
-13	-3516.559
-12	0.000
-11	0.000
-10	-0.000
-9	-0.000
-8	-4722.368
-7	0.000
-6	-4305.186
-5	0.000
-4	4121.707
-3	0.000
-2	4723.955
-1	0.000
1	-2360.530
2	0.000
3	-2041.132
4	-3400.579
5	-0.000
6	-478.094
7	0.000
8	0.000
9	-4830.395
10	-0.000
11	5514.828
12	692.140
13	0.000
14	1551.081
15	-3945.550
16	0.000
17	0.000
18	0.000
19	3941.874
20	0.000
21	-3429.734
22	-1409.648
23	0.000
24	1597.341
25	-0.000
26	-0.000
27	-303.502
28	0.000
29	-0.000
30	0.000
31	0.000
32	548.355
33	0.000
34	0.000
35	0.000
36	446.987
37	0.000
38	0.000
39	0.000
40	-0.000
41	0.000
42	0.000
43	-0.000
44	0.000
45	-1373.798
46	-638.430
47	124.711
48	304.559
49	1424.826
50	-1160.307
51	-0.000
52	-0.000
53	-2026.109
54	-0.000
55	0.000
56	-0.000
57	-0.000
58	0.000
59	0.000
60	864.905
61	0.000
62	-0.000
63	0.000
64	-0.000
65	-351.405
66	-882.509
67	0.000
68	0.000
69	0.000
70	0.000
71	-0.000
72	0.000
73	-0.000
74	1402.838
75	0.000
76	0.000
77	0.000
78	0.000
79	0.000
80	-0.000
81	-0.000
82	-0.000
83	-0.000
84	-688.816
85	-0.000
86	-0.000
87	0.000
88	0.000
89	-0.000
90	-0.000
91	-0.000
92	-0.000
93	1473.471
94	0.000
95	0.000
96	-0.000
97	0.000
98	0.000
99	-2169.254
100	243.356
101	0.000
102	0.000
103	0.000
104	-0.000
105	0.000
106	0.000
107	1674.453
108	0.000
109	-0.000
110	-0.000
111	0.000
112	44.446
113	2295.357
114	-0.000
115	3736.096
116	0.000
117	0.000
118	0.000
119	0.000
120	203.600
121	0.000
122	-0.000
123	-428.596
124	-0.000
125	-0.000
126	3337.477
127	0.000
128	17.003
129	0.000
130	-0.000
131	-0.000
132	461.959
133	0.000
134	0.000
135	0.000
136	0.000
137	0.000
138	0.000
139	-0.000
140	0.000
141	0.000
142	-0.000
143	-1710.959
144	-0.000
145	-0.000
146	0.000
147	0.000
148	-0.000
149	0.000
150	-0.000
151	0.000
152	0.000
153	0.000
154	0.000
155	1169.248
156	395.718
157	0.000
158	0.000
159	0.000
160	0.000
161	0.000
162	0.000
163	0.000
164	0.000
165	0.000
166	0.000
167	-0.000
168	-0.000
169	0.000
170	0.000
171	1613.730
172	0.000
173	-0.000
174	-0.000
175	0.000
176	0.000
177	52.423
178	-0.000
179	-0.000
180	0.000
181	-0.000
182	-0.000
183	0.000
184	0.000
185	-0.000
186	0.000
187	-0.000
188	-0.000
189	-0.000
190	-582.226
191	-0.000
192	0.000
193	-0.000
194	0.000
195	0.000
196	-0.000
197	0.000
198	472.576
199	1224.005
200	0.000
201	0.000
202	-0.000
203	-649.544
204	0.000
205	1542.193
206	0.000
207	-0.000
208	0.000
209	0.000
210	91.805
211	-0.000
212	-1817.884
213	-0.000
214	-0.000
215	1246.579
216	0.000
217	966.315
218	0.000
219	0.000
220	0.000
221	0.000
222	0.000
223	-0.000
224	0.000
225	-0.000
226	-0.000
227	0.000
228	0.000
229	0.000
230	-0.000
231	-0.000
232	-0.000
233	-0.000
234	0.000
235	0.000
236	-23.964
237	-0.000
238	-0.000
239	-0.000
240	0.000
241	179.455
242	925.508
243	-0.000
244	-0.000
245	0.000
246	-2528.509
247	-0.000
248	-0.000
249	0.000
250	0.000
251	0.000
252	0.000
253	0.000
254	0.000
255	116.962
